[1002/140333.991:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1002/141433.711:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141438.729:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141443.743:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141448.758:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141453.769:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141458.776:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141503.796:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141508.816:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141513.827:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141518.844:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141523.857:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141528.872:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141533.878:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141538.900:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1002/141543.911:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
